10:00:47: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | main | 45] Logger initialized
10:00:57: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 5
10:00:57: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 4
10:00:57: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 6
10:00:57: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 7
10:00:58: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 5
10:00:58: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 8
10:00:58: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 6
10:00:58: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 9
10:00:58: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 10
10:00:59: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 7
10:00:59: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 11
10:00:59: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 8
10:00:59: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 12
10:00:59: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 13
10:01:00: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 9
10:01:00: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 14
10:01:00: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | main | 134] Passed!
